city_name;production;type_production;consumption;latitude;longitude
Aachen;2412;6;684;50.775;6.084
Altenburg;1362;9;;50.991837;12.438535
Amsterdam;0;;511;52.370216;4.895
Annaberg;;;;50.578560;13.004673
Arnau;;;;50.539296;15.726031
Arnsberg;0;;0;51.407337;8.052771
Aschersleben;1171;9;475;51.753071;11.461550
Bamberg;;;;49.894218;10.885530
Barmen;0;;400;51.270650;7.194560
Bautzen;;;100;51.180882;14.428130
Berlin;0;;2625;52.520008;13.404954
Bernburg;;;150;51.794932;11.738681
Beuthen;20808;1;9274;50.348160;18.917561
Birnbaum;27;9;27;52.602328;15.909498
Bitterfeld;1906;9;682;51.632318;12.311132
Bonn;0;;300;50.737431;7.098207
Braunschweig;0;;325;52.268875;10.526770
Breisach;;;;48.035029;7.572036
Bremen;0;;100;53.079296;8.801694
Breslau;;;1000;51.110000;17.033208
Brieg;;;100;50.858432;17.468962
Bromberg;0;;200;53.121132;17.992970
Brühl;500;9;250;50.826140;6.901550
Brussel;;;;50.850346;4.351721
Calbe;2720;9;2451;51.904153;11.770870
Chemnitz;;;400;50.827847;12.921370
Coburg;;;;50.261208;10.962695
Cöhern;284;9;244;51.673024;11.770860
Cöthen;868;9;1397;51.744505;11.971218
Crefeld;0;;300;51.330461;6.567076
Creutzburg;;;;50.976815;18.206407
Crimmitschau;;;;50.817810;12.388320
Czenstochau;;;;50.814621;19.104071
Danzig;0;;400;54.352024;18.646639
Darmstadt;0;;200;49.873;8.651
Dessau;;;300;51.832500;12.234099
Deutsch Eylau;;;;53.596738;19.560942
Diedenhofen;;;;49.357471;6.168040
Diekirch;0;;0;49.869350;6.158140
Dirschau;;;100;54.091839;18.790600
Dortmund;0;;200;51.513588;7.465298
Dresden;1085;6;1245;51.050407;13.737262
Duisburg;0;;750;51.433314;6.770234
Düren;0;;350;50.799850;6.486960
Durrenberg;544;9;472;51.299460;12.069940
Düsseldorf;;;500;51.224960;6.775670
Dziditz;;;;49.911215;19.007564
Elberfeld;0;;400;51.255930;7.144130
Erfurt;0;;200;50.984768;11.029880
Essen;47154;4;16586;51.455;7.011
Falkenberg;150;9;;51.585662;13.241072
Finsteroulde;1254;9;837;51.632318;13.706447
Flensburg;0;;0;54.793743;9.446996
Frankenstein;;;100;50.588479;16.812838
Frankfurt;0;;400;50.110924;8.682127
Frankfurt (Oder);266;9;716;52.340395;14.538311
Freiberg;;;150;50.909371;13.345123
Gera;;;200;50.880470;12.081210
Giessen;0;;100;50.583832;8.677890
Gladbach;0;;300;49.935520;6.769790
Glatz;;;;50.436101;16.652550
Gleiwitz;;;;50.291182;18.698795
Glogau;;;;51.662377;16.090761
Gnesen;;;;52.533151;17.599334
Gogolin;;;100;50.491633;18.018731
Görlitz;96;9;196;51.153140;14.975300
Grüneberg;130;9;129;51.939302;15.506087
Guben;150;9;250;51.952259;14.714730
Hagen;0;;300;51.362320;7.463150
Halberstadt;;;400;51.894758;11.052971
Halle;1875;9;1729;51.477342;11.985048
Hamburg;0;;2000;53.551086;9.993682
Hamersleben;614;9;527;52.062350;11.087890
Hamm;0;;300;51.680390;7.817450
Hannover;987;5;347;52.375893;9.732010
Heidelberg;;;;49.398750;8.672434
Helmstedt;1744;9;648;52.224400;11.011020
Herford;0;;0;52.116390;8.669250
Hildescheim;0;;200;52.150900;9.951000
Hirschberg;;;150;50.903152;15.735146
Hof (Saale);;;;50.314070;11.914469
Holsminden;0;;0;51.827610;9.450440
Husum;0;;0;54.485378;9.053620
Iserlohn;0;;600;51.372971;7.699510
Jarotschin;;;;51.973899;17.501123
Jauer;;;100;51.050686;16.194774
Jbbenbüren;191;6;62;52.276772;7.718995
Jnsterburg;0;;0;54.635930;21.803090
Karlsruhe;;;;49.006889;8.403653
Kassel;600;9;209;51.312710;9.479746
Kiel;0;;225;54.320984;10.136575
Koblenz;0;;500;50.356548;7.599420
Kohlfurth;;;;51.288400;15.220980
Kolberg;0;;0;54.181679;15.569580
Köln;0;;500;50.940529;6.959910
Königsberg;0;;150;54.720379;20.500891
Kosel;;;;50.343730;18.208341
Kottbus;;;250;51.760689;14.327580
Krakow;;;;50.064651;19.944981
Kreuz;;;;52.879605;16.010800
Krotoschin;;;;51.695926;17.437416
Küstrin;;;150;52.586791;14.647468
Landsberg;;;;52.730096;15.232067
