from_city;to_city;flux1;flux2;flux3;flux4;flux5;flux6;flux7;flux8;flux9;flux10;fluxN1;fluxN2;fluxN3;fluxN4;fluxN5;fluxN6;fluxN7;fluxN8;fluxN9;fluxN10
Wittenberge;Hamburg;;;;;;;;;;;;;;;;;;;;51
Düren;Aachen;;;;937;;;;;;;;;;;;;;;;
Viersen;Aachen;;;;1536;;;;;;;;;;;;;;;;
Zwickau;Altenburg;;;;;;857;;;;;;;;;;;;;;
Utrecht;Amsterdam;;;;599;;;;;;;;;;;;;;;;
Chemnitz;Annaberg;;;;;;74;;;;;;;;;;;;;;
Waldenburg;Arnau;;;656;;;;;;;;;;;;;;;;;
Essen;Arnsberg;;;;1667;;;;;;;;;;;;;;;;
Sandersleben;Aschersleben;;;;;;;;;63;;;;;;;;;;;
Coburg;Bamberg;;;;;;108;;;;;;;;;;;;;;
Nürnberg;Bamberg;;;;;;27;;;;;;;;;;;;;;
Görlitz;Bautzen;166;;;;;;;;;;;;;;;;;;;
Dresden;Berlin;;;;;;;;;;199;;;;;;;;;;
Dresden;Berlin;;;;;;;;;;503;;;;;;;;;;
Falkenberg;Berlin;;;;;;26;;;;290;;;;;;;;;;
Finsteroulde;Berlin;;;;;;;;;205;;;;;;;;;;;
Frankfurt (Oder);Berlin;1372;;222;;;;;;;;;;;;;;;;52;
Kottbus;Berlin;238;;95;;;;;;;;;;;;;;;;;
Magdeburg;Berlin;;;;95;;;;;;183;;;;;;;;;;
Müncheberg;Berlin;;;;;;;;;30;;;;;;;;;;;
Müncheberg;Berlin;15;;;;;;;;;;;;;;;;;;;
Riesa;Berlin;;;;;;;;;;503;;;;;;;;;;
Stendal;Berlin;;;;107;;;;;;;;;;;;;;;;
Stettin;Berlin;;;;;;;;;;;;;;;;;;134;;
Wittenberg;Berlin;;;;;;;;;286;;;;;;;;;;;
Wittenberge;Berlin;;;;;;;;;;;;;;52;;;;215;;
Aschersleben;Bernburg;;;;40;;;;;;;;;;;;;;;;
Calbe;Bernburg;;;;;;;;;536;30;;;;;;;;;;
Cöthen;Bernburg;;;;;;;;;353;;;;;;;;;;;
Sandersleben;Bernburg;;;;10;;;;;;;;;;;;;;;;
Halle;Bitterfeld;;;;;;;;;16;;;;;;;;;;;
Leipzig;Bitterfeld;;;;;;46;;;12;25;;;;;;;;;;
Köln;Bonn;;;;3570;;66;;;78;;;;;1931;;;;;;
Hannover;Braunschweig;;;;1212;;;;;;;;;;;;;;;;
Helmstedt;Braunschweig;;;;;;;;;69;60;;;;;;;;;;
Strassburg;Breisach;;1000;;;;;;;;;;300;;;;;;;;
Nordsee;Bremen;;;;;;;;;;;;;;;;;;58;;
Osnabrück;Bremen;;;;1687;;;;;;;;;;;;;;;;
Brieg;Breslau;5005;;;;;;;;;;12;;;;;;;;;
Liegnitz;Breslau;;;55;;;;;;;;;;;;;;;;;
Oels;Breslau;1250;;;;;;;;;;;;;;;;;;;
Waldenburg;Breslau;;;515;;;;;;;;;;;;;;;;;
Neisse;Brieg;61;;;;;;;;;;;;;;;;;;;
Oppeln;Brieg;5051;;;;;;;;;;12;;;;;;;;;
Dirschau;Bromberg;;;;;;;;12;;;;;;;;;;101;;
Schneidemühl;Bromberg;18;;;;;;;;;;;;;;;;;;;
Thorn;Bromberg;553;;;;;;;;;;;;;;;;;;;
Liège;Brussel;;;;;;58;;;;;;;;;;;;;;
Maastricht;Brussel;;;;14;;12;;;;;;;;;;;;;;
Bernburg;Calbe;;;;12;;;;;228;;;;;;;;;;;
Leipzig;Chemnitz;;;;10;;;;;50;;;;;;;;;;;
Zwickau;Chemnitz;;;;;;1319;;;;;;;;;;;;;;
Hof (Saale);Coburg;;;;;;304;;;;;;;;;;;;;;
Halle;Cöhern;;;;;;12;;;;16;;;;;;;;;35;
Lobejün;Cöhern;;;;;;;;;155;;;;;;;;;;;
Dessau;Cöthen;;;;;;;;;218;;;;;;;;;;;
Halle;Cöthen;;;;;;;;;104;;;;;;;;;;;
Zawadzkie;Creutzburg;1695;;;;;;;;;;;;;;;;;;;
Weimar;Crimmitschau;;;;58;;;;;;;;;;;;;;;;
Zwickau;Crimmitschau;;;;;;1047;;;;;;;;;;;;;;
Beuthen;Czenstochau;539;;;;;;;;;;;;;;;;;;;
Dirschau;Danzig;97;;;;;;;;;;;;;;;;;;;
Ostsee;Danzig;;;;;;;;;;;;;;;;;;586;;
Frankfurt;Darmstadt;;;;305;;;;;;;;;;;;;;;;
Mainz-Wiesbaden;Darmstadt;;;;231;;;;;;;;;;;;;;;;
Bitterfeld;Dessau;;;;;;16;;;508;13;;;;;;;;;;
Cöthen;Dessau;;;;;;;;;8;;;;;;;;;;;
Marienburg;Deutsch Eylau;8;;;;;;;8;;;;;;;;;;;;
Thorn;Deutsch Eylau;139;;;;;;;;;;;;;;;;;;;
Luxemburg;Diedenhofen;;;;315;;;;;;;;;;;;;;;;
Verviers;Diekirch;;;;619;;115;;;;;;;;;;;;;;
Bromberg;Dirschau;438;;;;;;;;;;;;;;;;;;;
Danzig;Dirschau;;;;;;;;52;;;;;;;;;;101;;
Schneidemühl;Dirschau;24;;;;;;;;;;;;;;;;;;;
Essen;Dortmund;;;;1667;;;;;;;;;;;;;;;;
Bautzen;Dresden;49;;;;;;;;;;;;;;;;;;;
Prag;Dresden;;;;;;;;;;2866;;;;;;;;;;2064
Tharandt;Dresden;;;;;;735;;;;;;;;;;;;;;
Aachen;Düren;;;;;;993;;;;;;;;;;;;;;
Köln;Düren;;;;1166;;;;;78;;;;;;;;;;;
Essen;Düsseldorf;;;;937;;;;;;;;;;;;;;;;
Köln;Düsseldorf;;;;;;;;;;;;;;;;;;;57;
Beuthen;Dziditz;600;;;;;;;;;;;;;;;;;;;
Kassel;Erfurt;;;;552;;;;;;;;;;;;;;;;
Weimar;Erfurt;;;;;;85;;;139;81;;;;;;;;;;
Kottbus;Falkenberg;8;;10;;;;;;;;;;;;;;;;;
Lauchhammer;Falkenberg;64;;;;;;;;;;;;;;;;;;;
Riesa;Falkenberg;;;;;;33;;;;311;;;;;;;;;;
Ostsee;Flensburg;;;;;;;;;;;;;;;;;;71;;
Schlewig;Flensburg;;;;;;;;10;;;;;;;;;;;;
Glatz;Frankenstein;;;68;;;;;;;;;;;;;;;;;
Neisse;Frankenstein;702;;;;;;;;;;;;;;;;;;;
Schweidnitz;Frankenstein;;;158;;;;;;;;;;;;;;;;;
Giessen;Frankfurt;;;;578;;;;;;;;;;;;;;;;
Mainz-Wiesbaden;Frankfurt;;;;287;;;;;;;;;;;;;;;;
Mainz-Wiesbaden;Frankfurt;;;;442;;;;;;;;;;;;;;;;
Glogau;Frankfurt (Oder);364;;118;;;;;;;;;;;;;;;;;
Guben;Frankfurt (Oder);1486;;346;;;;;;;;;;;;;;;;;
Kottbus;Frankfurt (Oder);;;;;;;;;18;106;;;;;;;;;;
Posen;Frankfurt (Oder);68;;;;;;;;;;;;;;;;;;;
Chemnitz;Freiberg;;;;;;258;;;;;;;;;;;;;;
Altenburg;Gera;;;;;;;;;261;;;;;;;;;;;
Zwickau;Gera;;;;;;261;;;;;;;;;;;;;;
Koblenz;Giessen;;;;394;;;;;;;;;;;;;;;;
Siegen;Giessen;;;;1042;;;;;;;;;;;;;;;;
Frankenstein;Glatz;484;;;;;;;;;;;;;;;;;;;
Neurode;Glatz;;;165;;;;;;;;;;;;;;;;;
